CUDIS,Nivel,NOTA1,vivienda turistica,unidad1,nota2,plazas,unidad2,nota3,plazas por vivienda turistica,unidad3,nota4,Porcentaje vivienda turistica,UNIDAD4,PERIODO,PROV,PROV_LITERAL,MUN,MUN_LITERAL
0100101,Distritos,,2,Viviendas,,11,Plazas,,5.5,Plazas,,0.155038759689922,Porcentaje,2024M11,01,Araba/Álava,01001,Alegría-Dulantzi
0100201,Distritos,,12,Viviendas,,63,Plazas,,5.25,Plazas,,0.242277407631738,Porcentaje,2024M11,01,Araba/Álava,01002,Amurrio
0100301,Distritos,,4,Viviendas,,20,Plazas,,5,Plazas,,0.549450549450549,Porcentaje,2024M11,01,Araba/Álava,01003,Aramaio
0100401,Distritos,,2,Viviendas,,24,Plazas,,12,Plazas,,0.17636684303351,Porcentaje,2024M11,01,Araba/Álava,01004,Artziniega
0100601,Distritos,,1,Viviendas,,8,Plazas,,8,Plazas,,0.617283950617284,Porcentaje,2024M11,01,Araba/Álava,01006,Armiñón
0100801,Distritos,,2,Viviendas,,6,Plazas,,3,Plazas,,0.3690036900369,Porcentaje,2024M11,01,Araba/Álava,01008,Arratzua-Ubarrundia
0100901,Distritos,,8,Viviendas,,47,Plazas,,5.875,Plazas,,0.710479573712256,Porcentaje,2024M11,01,Araba/Álava,01009,Asparrena
0101001,Distritos,,10,Viviendas,,62,Plazas,,6.2,Plazas,,0.646412411118293,Porcentaje,2024M11,01,Araba/Álava,01010,Ayala/Aiara
0101101,Distritos,,1,Viviendas,,4,Plazas,,4,Plazas,,0.403225806451613,Porcentaje,2024M11,01,Araba/Álava,01011,Baños de Ebro/Mañueta
0101301,Distritos,,2,Viviendas,,6,Plazas,,3,Plazas,,0.357142857142857,Porcentaje,2024M11,01,Araba/Álava,01013,Barrundia
0101401,Distritos,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,,Plazas,,0,Porcentaje,2024M11,01,Araba/Álava,01014,Berantevilla
0101601,Distritos,,2,Viviendas,,21,Plazas,,10.5,Plazas,,0.324149108589951,Porcentaje,2024M11,01,Araba/Álava,01016,Bernedo
0101701,Distritos,,10,Viviendas,,45,Plazas,,4.5,Plazas,,1.03734439834025,Porcentaje,2024M11,01,Araba/Álava,01017,Campezo/Kanpezu
0101801,Distritos,,10,Viviendas,,47,Plazas,,4.7,Plazas,,1.02459016393443,Porcentaje,2024M11,01,Araba/Álava,01018,Zigoitia
0101901,Distritos,,1,Viviendas,,14,Plazas,,14,Plazas,,0.709219858156028,Porcentaje,2024M11,01,Araba/Álava,01019,Kripan
